product_name,review_count,review_rating,skin_type,review_text,url
더글로우 오로라 NMN 피디알엔 광채 퍼스트 에센스 120 ml,19,5,지성,매장구매 감사합니다 처음 써봅니다,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079085&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 퍼스트 에센스 120 ml,19,5,중성,빠른 배송 감사합니다 감사합니다 잘받았습니다 감사합니다 잘써볼게요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079085&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 퍼스트 에센스 120 ml,19,5,,매장구매 최고예요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079085&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 퍼스트 에센스 120 ml,19,5,,매장구매 최고예요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079085&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 앰플 미스트 100 ml,19,5,중성,이거 생각보다 좋아요 스프레이는 그냥 다이소 제품에서 흔하게 쓰이는 것 향은 포도향 광채만 놓고보면 vt pdrn 그쪽이 훨 나음 근데 기초 단계에서 이 제품만 추가해서 며칠 써봤는데 피부컨디션이 좋아졌어요 별 기대없이 샀는데… 만족합니다,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079089&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 앰플 미스트 100 ml,19,5,지성,얼굴이 건조할때 수시로 뿌려주기 좋아서 늘 근처에 구비해두고 있어요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079089&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 앰플 미스트 100 ml,19,5,중성,매장구매 새로 나온 제품 궁금해서 구매해요 기대되어요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079089&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 앰플 미스트 100 ml,19,5,중성,매장구매 사이즈도 미니미해서 딱 좋고 향도 좋아요 굿,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079089&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 앰플 미스트 100 ml,19,5,건성,좋아요~ 촉촉해 지는듯,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079089&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 앰플 미스트 100 ml,19,5,건성,매장구매 이거 좋아요 색깔이나 포도향 때문에 오잉? 싶었는데 이거랑 AHC 미스트랑 1-2 위를 다툼. AHC 미스트는 좀더 건성에. 이건 수부지에 적합. 이 두 제품 빼고 나머지 미스트들은 그냥 물...,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079089&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 앰플 미스트 100 ml,19,5,중성,진짜 안개분사! 향이 불량식품 포도향…? 전형적인 인공적인 포도향 정석 살짝 당황함 불호있을수도 적당히 촉촉해요!,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079089&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 앰플 미스트 100 ml,19,5,건성,잘쓰겠습니다 감사합니다,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079089&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 앰플 미스트 100 ml,19,5,중성,빠른 배송 감사합니다 감사합니다 잘받았습니다 감사합니다 잘써볼게요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079089&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 앰플 미스트 100 ml,19,5,,매장구매 최고예요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079089&recmYn=N
리얼베리어 세라베이스 모이스처라이징 베리어씰 세럼 30 ml,81,5,중성,리얼베리어 제품은 순하고 퀄리티 좋아 믿고 구매합니다. 요번에 세럼 처음 나왔길래 구매햏는데 기대됩니다.,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1075316&recmYn=N
리얼베리어 세라베이스 모이스처라이징 베리어씰 세럼 30 ml,81,5,건성,"세라베이스 토너, 크림쓰는데 앰플나와서 사봤다가 추가구매함 토너로 부족한 쫀쫀함과 수분감 채울 수 있음",https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1075316&recmYn=N
